Date,videoid,Views,Avg_duration,Earnings,vidviews,likes,dislikes,comments,startdate,daysactive
9/3/12,42,9,5.43,0,20617,278,1,26,8/30/10,936
9/3/12,29b,5,3.25,0,6610,42,1,12,3/27/10,1092
9/3/12,R6,2,4.14,0,2189,10,0,2,3/3/11,751
9/3/12,NegExt,1,5.7,0.01,1773,21,1,8,4/21/11,702
9/3/12,R11,2,0.62,0,1164,9,0,0,4/3/11,720
9/3/12,7,59,4.79,0.11,52310,580,10,65,9/29/09,1271
9/3/12,39,8,4.46,0.4,11422,96,2,32,8/16/10,950
9/3/12,E111,0,0,0,1491,10,2,4,2/19/11,763
9/3/12,R8,2,4.69,0.03,1796,17,0,1,4/9/11,714
9/3/12,E16,6,1.69,0.06,6818,30,0,3,12/29/10,815
9/3/12,1b,10,2.44,0,6164,60,0,4,2/19/11,763
9/3/12,36,8,2.9,0.09,5888,30,1,5,7/9/10,988
9/3/12,R5,7,1.91,0,2893,21,0,5,3/1/11,753
9/3/12,R4,6,6.73,0.15,4732,33,0,5,2/28/11,754
9/3/12,35,9,3.37,0,27407,141,4,48,6/14/10,1013
9/3/12,17,10,3.67,0,19284,194,1,23,11/17/09,1222
9/3/12,E15,37,3.24,0.01,21635,152,4,26,12/28/10,816
9/4/12,40,26,3.77,0.02,17705,202,0,25,8/30/10,936
9/4/12,E14,11,3.94,0,11267,61,2,16,12/27/10,817
9/4/12,R4,8,0.7,0,4732,33,0,5,2/28/11,754
9/4/12,6b,12,2.7,0.03,11826,97,4,20,11/21/10,853
9/4/12,34,11,1.8,0.09,10359,35,1,9,6/7/10,1020
9/4/12,16,14,4.7,0,23359,277,4,38,11/9/09,1230
9/4/12,6,51,3.12,0.17,82659,353,5,54,9/27/09,1273
9/4/12,27,9,4.69,0.04,24085,137,6,31,3/10/10,1109
9/4/12,20,12,3.18,0,29020,113,8,15,1/15/10,1163
9/4/12,37,15,4.46,0.01,21085,211,1,32,8/6/10,960
9/4/12,44,18,5.06,0.01,21913,232,0,34,11/15/10,859
9/4/12,24b,4,4.98,0,8704,72,0,13,2/9/10,1138
9/4/12,18,38,2.78,0.25,29105,129,5,27,1/7/10,1171
9/4/12,E11,10,1.22,0,4858,30,0,5,12/27/10,817
9/4/12,R13,7,1.7,0.01,1739,9,0,1,4/14/11,709
9/4/12,13,10,3.3,0.01,12242,79,0,9,10/27/09,1243
9/4/12,12,16,2.16,0,13243,44,3,20,10/21/09,1249
9/4/12,9b,48,3.92,0.11,38811,256,6,51,12/18/10,826
9/4/12,45,4,4.97,0,5703,35,1,6,11/16/10,858
9/4/12,1,34,3.61,0.01,23785,228,1,28,8/31/09,1300
9/4/12,6c,10,4.1,0,10664,89,1,15,12/12/10,832
9/4/12,7,44,4.22,0.19,52310,580,10,65,9/29/09,1271
9/4/12,31,6,1.77,0.01,4615,52,1,3,3/28/10,1091
9/4/12,E12,4,0.75,0.04,2600,17,0,1,12/27/10,817
9/4/12,E110,6,4.38,0.07,6011,28,2,10,1/10/11,803
9/4/12,29b,5,3.28,0.01,6610,42,1,12,3/27/10,1092
9/4/12,E16,5,1.61,0.06,6818,30,0,3,12/29/10,815
9/4/12,WhatIs,17,2.9,0.07,40995,98,3,11,12/20/10,824
9/4/12,25,10,2.18,0.81,10851,48,1,13,2/13/10,1134
9/4/12,5,15,2.25,0.02,19875,180,0,25,9/25/09,1275
9/4/12,R11,2,0.12,0,1164,9,0,0,4/3/11,720
9/4/12,21,8,2.67,0,18107,131,1,23,1/23/10,1155
9/4/12,19,17,3.5,0,24811,178,3,19,1/12/10,1166
9/4/12,R3,9,2.5,0.01,2805,18,0,0,2/25/11,757
9/4/12,8,27,3.57,0,28254,164,4,25,10/2/09,1268
9/4/12,22,4,2.69,0,9094,63,0,11,1/26/10,1152
9/4/12,32,8,3.62,0.06,13032,87,0,11,6/7/10,1020
9/4/12,30,5,1.83,0.07,8820,75,1,10,3/27/10,1092
9/4/12,17,4,1.95,0,19284,194,1,23,11/17/09,1222
9/4/12,14,2,0.61,0,5101,29,0,6,10/27/09,1243
9/4/12,28,5,0.39,0,10086,78,0,10,3/23/10,1096
9/4/12,9,15,2.64,0,14758,144,1,24,10/6/09,1264
9/4/12,E13,3,0,0,2758,24,0,1,12/27/10,817
9/4/12,R12,4,0.04,0,3457,22,0,10,4/12/11,711
9/4/12,23,4,0.76,0,23980,75,4,18,1/27/10,1151
9/4/12,Sunk,6,2.18,0,5532,26,0,3,7/16/10,981
9/4/12,R5,6,0.95,0,2893,21,0,5,3/1/11,753
9/4/12,29a,5,1.62,0.01,9318,37,0,6,3/27/10,1092
9/4/12,33,15,3.53,0.01,13834,52,2,14,6/7/10,1020
9/4/12,35a,10,3.07,0.01,16629,68,3,20,7/6/10,991
9/4/12,9a,8,2.57,0,15061,129,0,25,10/6/09,1264
9/4/12,R1,13,4.21,0,6365,85,1,10,2/21/11,761
9/4/12,38,14,4.42,0,9626,63,2,10,8/15/10,951
9/4/12,Reg2,7,1.49,0,19069,31,4,8,9/20/09,1280
9/4/12,42,18,4.89,0,20617,278,1,26,8/30/10,936
9/4/12,E111,1,0,0,1491,10,2,4,2/19/11,763
9/4/12,41,15,4.09,0.01,14982,166,1,26,3/12/10,1107
9/4/12,Reg1,20,4.57,0,23308,67,4,23,9/20/09,1280
9/4/12,E18,3,0.42,0,6502,31,1,10,12/31/10,813
9/4/12,ANOVA,5,1.94,0,13723,58,1,18,9/22/09,1278
9/4/12,R6,2,0.13,0,2189,10,0,2,3/3/11,751
9/4/12,29,11,7.81,0.1,20514,223,0,38,3/26/10,1093
9/4/12,E15,31,3.66,0.01,21635,152,4,26,12/28/10,816
9/4/12,E21,10,5.54,0.01,5453,30,0,16,4/18/11,705
9/4/12,NegExt,3,0.36,0,1773,21,1,8,4/21/11,702
9/4/12,36,7,2.34,0,5888,30,1,5,7/9/10,988
